seed,selector_type,class,class_name,n_present_cases,baseline_e0_present_dice,baseline_e2_present_dice,best_single_present_dice,greedy_selector_present_dice,apparent_gain_vs_best_single,strict_volume_oracle,negative_slice_base_model,notes
3407,exploratory_positive_slice_delineation_gt_greedy_selector,4,SAH,18,0.29927859593240197,0.2888808190575858,0.29927859593240197,0.32911075268352524,0.029832156751123273,False,E0,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_bce_gt_guided_selector,4,SAH,18,0.29927859593240197,0.2888808190575858,0.29927859593240197,0.16543821759585156,-0.1338403783365504,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_dice_loss_gt_guided_selector,4,SAH,18,0.29927859593240197,0.2888808190575858,0.29927859593240197,0.16642951363425826,-0.1328490822981437,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_highly_optimistic_slice_gt_greedy_selector,5,SDH,12,0.3395827521058143,0.3787678004819925,0.3787678004819925,0.44368034857379013,0.06491254809179764,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_positive_slice_delineation_gt_greedy_selector,5,SDH,12,0.3395827521058143,0.3787678004819925,0.3787678004819925,0.4156746865593563,0.03690688607736381,False,E2,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_bce_gt_guided_selector,5,SDH,12,0.3395827521058143,0.3787678004819925,0.3787678004819925,0.28668240129816697,-0.09208539918382552,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
3407,exploratory_soft_dice_loss_gt_guided_selector,5,SDH,12,0.3395827521058143,0.3787678004819925,0.3787678004819925,0.28432764117106196,-0.09444015931093053,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_highly_optimistic_slice_gt_greedy_selector,1,EDH,6,0.47072701128087857,0.5727058345584828,0.5727058345584828,0.611274806858821,0.03856897230033818,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_positive_slice_delineation_gt_greedy_selector,1,EDH,6,0.47072701128087857,0.5727058345584828,0.5727058345584828,0.5950059284749895,0.02230009391650667,False,E2,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_bce_gt_guided_selector,1,EDH,6,0.47072701128087857,0.5727058345584828,0.5727058345584828,0.5820955735727682,0.009389739014285414,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_dice_loss_gt_guided_selector,1,EDH,6,0.47072701128087857,0.5727058345584828,0.5727058345584828,0.566515745015657,-0.0061900895428257385,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_highly_optimistic_slice_gt_greedy_selector,2,IPH,27,0.6714424683437478,0.7031516259627728,0.7031516259627728,0.7476044325393373,0.044452806576564474,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_positive_slice_delineation_gt_greedy_selector,2,IPH,27,0.6714424683437478,0.7031516259627728,0.7031516259627728,0.7217460757828457,0.018594449820072856,False,E2,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_bce_gt_guided_selector,2,IPH,27,0.6714424683437478,0.7031516259627728,0.7031516259627728,0.5747193926010671,-0.12843223336170573,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_dice_loss_gt_guided_selector,2,IPH,27,0.6714424683437478,0.7031516259627728,0.7031516259627728,0.5706050280879803,-0.1325465978747925,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_highly_optimistic_slice_gt_greedy_selector,3,IVH,19,0.6541002318433286,0.6398363577551073,0.6541002318433286,0.7149588011251006,0.060858569281772024,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_positive_slice_delineation_gt_greedy_selector,3,IVH,19,0.6541002318433286,0.6398363577551073,0.6541002318433286,0.6860418974983741,0.031941665655045526,False,E0,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_bce_gt_guided_selector,3,IVH,19,0.6541002318433286,0.6398363577551073,0.6541002318433286,0.26344721448091996,-0.3906530173624086,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_dice_loss_gt_guided_selector,3,IVH,19,0.6541002318433286,0.6398363577551073,0.6541002318433286,0.2612158741703614,-0.39288435767296714,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_highly_optimistic_slice_gt_greedy_selector,4,SAH,18,0.3044772864947809,0.27567761872852764,0.3044772864947809,0.3584462270156996,0.05396894052091872,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_positive_slice_delineation_gt_greedy_selector,4,SAH,18,0.3044772864947809,0.27567761872852764,0.3044772864947809,0.32208098296501153,0.017603696470230634,False,E0,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_bce_gt_guided_selector,4,SAH,18,0.3044772864947809,0.27567761872852764,0.3044772864947809,0.1567686754627379,-0.147708611032043,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_dice_loss_gt_guided_selector,4,SAH,18,0.3044772864947809,0.27567761872852764,0.3044772864947809,0.15543624382566187,-0.14904104266911902,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_highly_optimistic_slice_gt_greedy_selector,5,SDH,12,0.3519917624168114,0.3452533873044749,0.3519917624168114,0.39709529346211325,0.04510353104530185,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_positive_slice_delineation_gt_greedy_selector,5,SDH,12,0.3519917624168114,0.3452533873044749,0.3519917624168114,0.3889792100689444,0.03698744765213302,False,E0,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_bce_gt_guided_selector,5,SDH,12,0.3519917624168114,0.3452533873044749,0.3519917624168114,0.2580867062159289,-0.09390505620088252,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
5678,exploratory_soft_dice_loss_gt_guided_selector,5,SDH,12,0.3519917624168114,0.3452533873044749,0.3519917624168114,0.25424980511575673,-0.09774195730105467,False,not_applicable,"GT-guided, undeployable exploratory selector; per-class binary masks only; no multiclass reconstruction"
